namePlayer.x,slugSeason,groupPosition,countGames,countGamesStarted,Tm
Alex Abrines,2018-19,G,31,2,OKC
Jaylen Adams,2018-19,G,34,1,ATL
Steven Adams,2018-19,C,80,80,OKC
Bam Adebayo,2018-19,C,82,28,MIA
LaMarcus Aldridge,2018-19,C,81,81,SAS
Grayson Allen,2018-19,G,38,2,UTA
Jarrett Allen,2018-19,C,80,80,BRK
Al-Farouq Aminu,2018-19,F,81,81,POR
Justin Anderson,2018-19,F,48,4,ATL
Kyle Anderson,2018-19,F,43,40,MEM
Giannis Antetokounmpo,2018-19,F,72,72,MIL
OG Anunoby,2018-19,F,67,6,TOR
Ryan Arcidiacono,2018-19,G,81,32,CHI
Trevor Ariza,2018-19,F,69,69,TOT
D.J. Augustin,2018-19,G,81,81,ORL
Deandre Ayton,2018-19,C,71,70,PHO
Dwayne Bacon,2018-19,G,43,13,CHO
Marvin Bagley III,2018-19,F,62,4,SAC
Lonzo Ball,2018-19,G,47,45,LAL
Mo Bamba,2018-19,C,47,1,ORL
J.J. Barea,2018-19,G,38,0,DAL
Harrison Barnes,2018-19,F,77,77,TOT
Will Barton,2018-19,F,43,38,DEN
Keita Bates-Diop,2018-19,F,30,3,MIN
Nicolas Batum,2018-19,F,75,72,CHO
Jerryd Bayless,2018-19,G,34,6,MIN
Aron Baynes,2018-19,C,51,18,BOS
Kent Bazemore,2018-19,G,67,35,ATL
Bradley Beal,2018-19,G,82,82,WAS
Malik Beasley,2018-19,G,81,18,DEN
Marco Belinelli,2018-19,G,79,1,SAS
Jordan Bell,2018-19,C,68,3,GSW
DeAndre' Bembry,2018-19,G,82,15,ATL
Dragan Bender,2018-19,F,46,27,PHO
Davis Bertans,2018-19,F,76,12,SAS
Patrick Beverley,2018-19,G,78,49,LAC
Khem Birch,2018-19,C,50,1,ORL
Bismack Biyombo,2018-19,C,54,32,CHO
Nemanja Bjelica,2018-19,F,77,70,SAC
Antonio Blakeney,2018-19,G,57,3,CHI
Eric Bledsoe,2018-19,G,78,78,MIL
Bogdan Bogdanovic,2018-19,G,70,17,SAC
Bojan Bogdanovic,2018-19,F,81,81,IND
Jonah Bolden,2018-19,F,44,10,PHI
Devin Booker,2018-19,G,64,64,PHO
Avery Bradley,2018-19,G,63,63,TOT
Corey Brewer,2018-19,F,31,3,TOT
Mikal Bridges,2018-19,F,82,56,PHO
Miles Bridges,2018-19,F,80,25,CHO
Isaiah Briscoe,2018-19,G,39,0,ORL
Ryan Broekhoff,2018-19,G,42,0,DAL
Malcolm Brogdon,2018-19,G,64,64,MIL
Bruce Brown,2018-19,G,74,56,DET
Jaylen Brown,2018-19,G,74,25,BOS
Sterling Brown,2018-19,G,58,7,MIL
Troy Brown Jr.,2018-19,F,52,10,WAS
Jalen Brunson,2018-19,G,73,38,DAL
Thomas Bryant,2018-19,C,72,53,WAS
Reggie Bullock,2018-19,G,63,60,TOT
Trey Burke,2018-19,G,58,8,TOT
Alec Burks,2018-19,G,64,24,TOT
Deonte Burton,2018-19,G,32,0,OKC
Jimmy Butler,2018-19,F,65,65,TOT
Bruno Caboclo,2018-19,F,34,19,MEM
Jose Calderon,2018-19,G,49,0,DET
Kentavious Caldwell-Pope,2018-19,G,82,23,LAL
Isaiah Canaan,2018-19,G,30,16,TOT
Clint Capela,2018-19,C,67,67,HOU
DeMarre Carroll,2018-19,F,67,8,BRK
Jevon Carter,2018-19,G,39,3,MEM
Vince Carter,2018-19,F,76,9,ATL
Wendell Carter Jr.,2018-19,C,44,44,CHI
Omri Casspi,2018-19,F,36,0,MEM
Willie Cauley-Stein,2018-19,C,81,81,SAC
Tyson Chandler,2018-19,C,55,6,TOT
Wilson Chandler,2018-19,F,51,33,TOT
Marquese Chriss,2018-19,F,43,2,TOT
Gary Clark,2018-19,F,51,2,HOU
Ian Clark,2018-19,G,60,6,NOP
Jordan Clarkson,2018-19,G,81,0,CLE
John Collins,2018-19,F,61,59,ATL
Zach Collins,2018-19,C,77,0,POR
Darren Collison,2018-19,G,76,76,IND
Mike Conley,2018-19,G,70,70,MEM
Pat Connaughton,2018-19,G,61,2,MIL
Quinn Cook,2018-19,G,74,10,GSW
DeMarcus Cousins,2018-19,C,30,30,GSW
Robert Covington,2018-19,F,35,35,TOT
Allen Crabbe,2018-19,G,43,20,BRK
Torrey Craig,2018-19,F,75,37,DEN
Jamal Crawford,2018-19,G,64,0,PHO
Jae Crowder,2018-19,F,80,11,UTA
Dante Cunningham,2018-19,F,64,21,SAS
Seth Curry,2018-19,G,74,2,POR
Stephen Curry,2018-19,G,69,69,GSW
Troy Daniels,2018-19,G,51,1,PHO
Anthony Davis,2018-19,C,56,56,NOP
Ed Davis,2018-19,C,81,1,BRK
Dewayne Dedmon,2018-19,C,64,52,ATL
Sam Dekker,2018-19,F,47,5,TOT
Matthew Dellavedova,2018-19,G,48,0,TOT
DeMar DeRozan,2018-19,G,77,77,SAS
Cheick Diallo,2018-19,F,64,1,NOP
Hamidou Diallo,2018-19,G,51,3,OKC
Gorgui Dieng,2018-19,C,76,2,MIN
Spencer Dinwiddie,2018-19,G,68,4,BRK
Luka Doncic,2018-19,G,72,72,DAL
Tyler Dorsey,2018-19,G,48,11,TOT
Damyean Dotson,2018-19,G,73,40,NYK
Goran Dragic,2018-19,G,36,22,MIA
Andre Drummond,2018-19,C,79,79,DET
Jared Dudley,2018-19,F,59,25,BRK
Kris Dunn,2018-19,G,46,44,CHI
Kevin Durant,2018-19,F,78,78,GSW
Wayne Ellington,2018-19,G,53,38,TOT
Joel Embiid,2018-19,C,64,64,PHI
James Ennis III,2018-19,F,58,27,TOT
Jacob Evans,2018-19,G,30,1,GSW
Tyreke Evans,2018-19,G,69,18,IND
Dante Exum,2018-19,G,42,1,UTA
Kenneth Faried,2018-19,C,37,13,TOT
Derrick Favors,2018-19,C,76,70,UTA
Cristiano Felicio,2018-19,C,60,0,CHI
Raymond Felton,2018-19,G,33,0,OKC
Terrance Ferguson,2018-19,G,74,74,OKC
Yogi Ferrell,2018-19,G,71,3,SAC
Dorian Finney-Smith,2018-19,F,81,26,DAL
Bryn Forbes,2018-19,G,82,81,SAS
Evan Fournier,2018-19,G,81,81,ORL
De'Aaron Fox,2018-19,G,81,81,SAC
Tim Frazier,2018-19,G,59,19,TOT
Enes Freedom,2018-19,C,67,31,TOT
Channing Frye,2018-19,C,36,6,CLE
Danilo Gallinari,2018-19,F,68,68,LAC
Langston Galloway,2018-19,G,80,4,DET
Marc Gasol,2018-19,C,79,72,TOT
Pau Gasol,2018-19,C,30,6,TOT
Rudy Gay,2018-19,F,69,51,SAS
Paul George,2018-19,F,77,77,OKC
Taj Gibson,2018-19,F,70,57,MIN
Harry Giles III,2018-19,F,58,0,SAC
Shai Gilgeous-Alexander,2018-19,G,82,73,LAC
Rudy Gobert,2018-19,C,81,80,UTA
Aaron Gordon,2018-19,F,78,78,ORL
Eric Gordon,2018-19,G,68,53,HOU
Marcin Gortat,2018-19,C,47,43,LAC
Devonte' Graham,2018-19,G,46,3,CHO
Treveon Graham,2018-19,G,35,21,BRK
Jerami Grant,2018-19,F,80,77,OKC
Jerian Grant,2018-19,G,60,1,ORL
Danny Green,2018-19,G,80,80,TOR
Draymond Green,2018-19,F,66,66,GSW
Gerald Green,2018-19,G,73,0,HOU
JaMychal Green,2018-19,F,65,6,TOT
Jeff Green,2018-19,F,77,44,WAS
Blake Griffin,2018-19,F,75,75,DET
Tim Hardaway Jr.,2018-19,G,65,63,TOT
James Harden,2018-19,G,78,78,HOU
Maurice Harkless,2018-19,F,60,53,POR
Montrezl Harrell,2018-19,C,82,5,LAC
Devin Harris,2018-19,G,68,2,DAL
Gary Harris,2018-19,G,57,48,DEN
Joe Harris,2018-19,G,76,76,BRK
Tobias Harris,2018-19,F,82,82,TOT
Shaquille Harrison,2018-19,G,73,11,CHI
Josh Hart,2018-19,G,67,22,LAL
Gordon Hayward,2018-19,F,72,18,BOS
Juancho Hernangomez,2018-19,F,70,25,DEN
Willy Hernangomez,2018-19,C,58,3,CHO
Mario Hezonja,2018-19,F,58,24,NYK
Buddy Hield,2018-19,G,82,82,SAC
Nene,2018-19,C,42,2,HOU
George Hill,2018-19,G,60,13,TOT
Solomon Hill,2018-19,F,44,15,NOP
Aaron Holiday,2018-19,G,50,0,IND
Jrue Holiday,2018-19,G,67,67,NOP
Justin Holiday,2018-19,G,82,77,TOT
Rondae Hollis-Jefferson,2018-19,F,59,21,BRK
Richaun Holmes,2018-19,C,70,4,PHO
Rodney Hood,2018-19,G,72,49,TOT
Al Horford,2018-19,C,68,68,BOS
Danuel House Jr.,2018-19,F,39,13,HOU
Kevin Huerter,2018-19,G,75,59,ATL
Chandler Hutchison,2018-19,F,44,14,CHI
Serge Ibaka,2018-19,C,74,51,TOR
Andre Iguodala,2018-19,F,68,13,GSW
Ersan Ilyasova,2018-19,F,67,7,MIL
Joe Ingles,2018-19,F,82,82,UTA
Brandon Ingram,2018-19,F,52,52,LAL
Kyrie Irving,2018-19,G,67,67,BOS
Jonathan Isaac,2018-19,F,75,64,ORL
Wes Iwundu,2018-19,F,68,13,ORL
Frank Jackson,2018-19,G,61,16,NOP
Jaren Jackson Jr.,2018-19,F,58,56,MEM
Josh Jackson,2018-19,G,79,29,PHO
Justin Jackson,2018-19,F,81,14,TOT
Reggie Jackson,2018-19,G,82,82,DET
LeBron James,2018-19,F,55,55,LAL
Jonas Jerebko,2018-19,F,73,6,GSW
Amir Johnson,2018-19,C,51,6,PHI
James Johnson,2018-19,F,55,33,MIA
Stanley Johnson,2018-19,F,66,7,TOT
Tyler Johnson,2018-19,G,57,22,TOT
Wesley Johnson,2018-19,F,38,13,TOT
Nikola Jokic,2018-19,C,80,80,DEN
Derrick Jones Jr.,2018-19,F,60,14,MIA
Tyus Jones,2018-19,G,68,23,MIN
DeAndre Jordan,2018-19,C,69,69,TOT
Cory Joseph,2018-19,G,82,9,IND
Frank Kaminsky,2018-19,C,47,0,CHO
Luke Kennard,2018-19,G,63,10,DET
Michael Kidd-Gilchrist,2018-19,F,64,3,CHO
Maxi Kleber,2018-19,F,71,18,DAL
Brandon Knight,2018-19,G,39,26,TOT
Kevin Knox II,2018-19,F,75,57,NYK
Furkan Korkmaz,2018-19,G,48,7,PHI
Luke Kornet,2018-19,F,46,18,NYK
Kyle Korver,2018-19,G,70,0,TOT
Kosta Koufos,2018-19,C,42,1,SAC
Rodions Kurucs,2018-19,F,63,46,BRK
Kyle Kuzma,2018-19,F,70,68,LAL
Jeremy Lamb,2018-19,G,79,55,CHO
Zach LaVine,2018-19,G,63,62,CHI
Jake Layman,2018-19,F,71,33,POR
TJ Leaf,2018-19,F,58,1,IND
Courtney Lee,2018-19,G,34,6,TOT
Damion Lee,2018-19,G,32,0,GSW
Alex Len,2018-19,C,77,31,ATL
Kawhi Leonard,2018-19,F,60,60,TOR
Meyers Leonard,2018-19,C,61,2,POR
Jon Leuer,2018-19,F,41,1,DET
Caris LeVert,2018-19,F,40,25,BRK
Damian Lillard,2018-19,G,80,80,POR
Jeremy Lin,2018-19,G,74,4,TOT
Shaun Livingston,2018-19,G,64,0,GSW
Kevon Looney,2018-19,C,80,24,GSW
Brook Lopez,2018-19,C,81,81,MIL
Robin Lopez,2018-19,C,74,36,CHI
Kyle Lowry,2018-19,G,65,65,TOR
Timothe Luwawu-Cabarrot,2018-19,F,50,7,TOT
Trey Lyles,2018-19,F,64,2,DEN
Shelvin Mack,2018-19,G,57,3,TOT
Ian Mahinmi,2018-19,C,34,6,WAS
Thon Maker,2018-19,C,64,5,TOT
Boban Marjanovic,2018-19,C,58,12,TOT
Lauri Markkanen,2018-19,F,52,51,CHI
Jarell Martin,2018-19,F,42,1,ORL
Frank Mason III,2018-19,G,38,0,SAC
Wesley Matthews,2018-19,F,69,68,TOT
CJ McCollum,2018-19,G,70,70,POR
T.J. McConnell,2018-19,G,76,3,PHI
Doug McDermott,2018-19,F,77,1,IND
JaVale McGee,2018-19,C,75,62,LAL
Rodney McGruder,2018-19,G,66,45,MIA
Alfonzo McKinnie,2018-19,F,72,5,GSW
Salah Mejri,2018-19,C,36,4,DAL
De'Anthony Melton,2018-19,G,50,31,PHO
Khris Middleton,2018-19,F,77,77,MIL
CJ Miles,2018-19,F,53,1,TOT
Darius Miller,2018-19,F,69,15,NOP
Patty Mills,2018-19,G,82,1,SAS
Paul Millsap,2018-19,F,70,65,DEN
Nikola Mirotic,2018-19,F,46,25,TOT
Donovan Mitchell,2018-19,G,77,77,UTA
Malik Monk,2018-19,G,73,0,CHO
Greg Monroe,2018-19,C,43,2,TOT
E'Twaun Moore,2018-19,G,53,36,NOP
Marcus Morris Sr.,2018-19,F,75,53,BOS
Markieff Morris,2018-19,F,58,16,TOT
Monte Morris,2018-19,G,82,6,DEN
Emmanuel Mudiay,2018-19,G,59,42,NYK
Jamal Murray,2018-19,G,75,74,DEN
Mike Muscala,2018-19,F,64,10,TOT
Svi Mykhailiuk,2018-19,F,42,0,TOT
Abdel Nader,2018-19,F,61,1,OKC
Larry Nance Jr.,2018-19,C,67,30,CLE
Shabazz Napier,2018-19,G,56,2,BRK
Raul Neto,2018-19,G,37,1,UTA
Georges Niang,2018-19,F,59,0,UTA
Joakim Noah,2018-19,C,42,1,MEM
Nerlens Noel,2018-19,C,77,2,OKC
Dirk Nowitzki,2018-19,F,51,20,DAL
Frank Ntilikina,2018-19,G,43,16,NYK
Jusuf Nurkic,2018-19,C,72,72,POR
David Nwaba,2018-19,F,51,14,CLE
Royce O'Neale,2018-19,F,82,16,UTA
Kyle O'Quinn,2018-19,C,45,3,IND
Semi Ojeleye,2018-19,F,56,3,BOS
Jahlil Okafor,2018-19,C,59,24,NOP
Elie Okobo,2018-19,G,53,16,PHO
Josh Okogie,2018-19,G,74,52,MIN
Victor Oladipo,2018-19,G,36,36,IND
Kelly Olynyk,2018-19,F,79,36,MIA
Cedi Osman,2018-19,F,76,75,CLE
Kelly Oubre Jr.,2018-19,F,69,19,TOT
Zaza Pachulia,2018-19,C,68,3,DET
Jabari Parker,2018-19,F,64,17,TOT
Tony Parker,2018-19,G,56,0,CHO
Patrick Patterson,2018-19,F,63,5,OKC
Chris Paul,2018-19,G,58,58,HOU
Cameron Payne,2018-19,G,40,13,TOT
Elfrid Payton,2018-19,G,42,42,NOP
Mason Plumlee,2018-19,C,82,17,DEN
Jakob Poeltl,2018-19,C,77,24,SAS
Quincy Pondexter,2018-19,F,53,0,SAS
Otto Porter Jr.,2018-19,F,56,43,TOT
Bobby Portis,2018-19,F,50,28,TOT
Dwight Powell,2018-19,C,77,22,DAL
Norman Powell,2018-19,G,60,3,TOR
Taurean Prince,2018-19,F,55,47,ATL
Ivan Rabb,2018-19,F,49,13,MEM
Chasson Randle,2018-19,G,49,2,WAS
Julius Randle,2018-19,F,73,49,NOP
JJ Redick,2018-19,G,76,63,PHI
Josh Richardson,2018-19,G,73,73,MIA
Austin Rivers,2018-19,G,76,15,TOT
Glenn Robinson III,2018-19,F,47,18,DET
Jerome Robinson,2018-19,G,33,0,LAC
Mitchell Robinson,2018-19,C,66,19,NYK
Rajon Rondo,2018-19,G,46,29,LAL
Derrick Rose,2018-19,G,51,13,MIN
Terrence Ross,2018-19,G,81,0,ORL
Terry Rozier,2018-19,G,79,14,BOS
Ricky Rubio,2018-19,G,68,67,UTA
D'Angelo Russell,2018-19,G,81,81,BRK
Domantas Sabonis,2018-19,C,74,5,IND
Dario Saric,2018-19,F,81,41,TOT
Tomas Satoransky,2018-19,G,80,54,WAS
Dennis Schroder,2018-19,G,79,14,OKC
Mike Scott,2018-19,F,79,3,TOT
Thabo Sefolosha,2018-19,F,50,2,UTA
Wayne Selden,2018-19,G,75,13,TOT
Collin Sexton,2018-19,G,82,72,CLE
Landry Shamet,2018-19,G,79,27,TOT
Iman Shumpert,2018-19,G,62,41,TOT
Pascal Siakam,2018-19,F,80,79,TOR
Ben Simmons,2018-19,G,79,79,PHI
Jonathon Simmons,2018-19,G,56,9,TOT
Marcus Smart,2018-19,G,80,60,BOS
Dennis Smith Jr.,2018-19,G,53,50,TOT
Ish Smith,2018-19,G,56,0,DET
Tony Snell,2018-19,F,74,12,MIL
Omari Spellman,2018-19,F,46,11,ATL
Nik Stauskas,2018-19,G,68,0,TOT
Lance Stephenson,2018-19,G,68,3,LAL
Jayson Tatum,2018-19,F,79,79,BOS
Jeff Teague,2018-19,G,42,41,MIN
Garrett Temple,2018-19,G,75,55,TOT
Daniel Theis,2018-19,C,66,2,BOS
Lance Thomas,2018-19,F,46,17,NYK
Klay Thompson,2018-19,G,78,78,GSW
Tristan Thompson,2018-19,C,43,40,CLE
Sindarius Thornwell,2018-19,G,64,1,LAC
Anthony Tolliver,2018-19,F,65,0,MIN
Karl-Anthony Towns,2018-19,C,77,77,MIN
Allonzo Trier,2018-19,G,64,3,NYK
P.J. Tucker,2018-19,F,82,82,HOU
Evan Turner,2018-19,G,73,2,POR
Myles Turner,2018-19,C,74,74,IND
Ekpe Udoh,2018-19,C,51,1,UTA
Jonas Valanciunas,2018-19,C,49,27,TOT
Fred VanVleet,2018-19,G,64,28,TOR
Noah Vonleh,2018-19,F,68,57,NYK
Nikola Vucevic,2018-19,C,80,80,ORL
Dwyane Wade,2018-19,G,72,2,MIA
Moritz Wagner,2018-19,C,43,5,LAL
Dion Waiters,2018-19,G,44,28,MIA
Kemba Walker,2018-19,G,82,82,CHO
John Wall,2018-19,G,32,32,WAS
Tyrone Wallace,2018-19,G,62,0,LAC
Brad Wanamaker,2018-19,G,36,0,BOS
T.J. Warren,2018-19,F,43,36,PHO
Russell Westbrook,2018-19,G,73,73,OKC
Derrick White,2018-19,G,67,55,SAS
Hassan Whiteside,2018-19,C,72,53,MIA
Andrew Wiggins,2018-19,F,73,73,MIN
Kenrich Williams,2018-19,F,46,29,NOP
Lou Williams,2018-19,G,75,1,LAC
Marvin Williams,2018-19,F,75,75,CHO
Robert Williams III,2018-19,C,32,2,BOS
